month,total number of job postings,company
12-Jan,5,Barclays
12-Feb,1,Barclays
12-Mar,14,Barclays
12-Apr,7,Barclays
12-May,11,Barclays
12-Jun,3,Barclays
12-Jul,4,Barclays
12-Aug,4,Barclays
12-Sep,5,Barclays
12-Oct,10,Barclays
12-Nov,4,Barclays
12-Dec,4,Barclays
13-Jan,69,Barclays
13-Feb,44,Barclays
13-Mar,74,Barclays
13-Apr,243,Barclays
13-May,153,Barclays
13-Jun,332,Barclays
13-Jul,47,Barclays
13-Aug,70,Barclays
13-Sep,61,Barclays
13-Oct,85,Barclays
13-Nov,90,Barclays
13-Dec,140,Barclays
14-Jan,106,Barclays
14-Feb,87,Barclays
14-Mar,324,Barclays
14-Apr,169,Barclays
14-May,195,Barclays
14-Jun,156,Barclays
14-Jul,394,Barclays
14-Aug,216,Barclays
14-Sep,265,Barclays
14-Oct,140,Barclays
14-Nov,146,Barclays
14-Dec,36,Barclays
15-Jan,265,Barclays
15-Feb,223,Barclays
15-Mar,198,Barclays
15-Apr,192,Barclays
15-May,156,Barclays
15-Jun,115,Barclays
15-Jul,138,Barclays
15-Aug,134,Barclays
15-Sep,72,Barclays
15-Oct,80,Barclays
15-Nov,45,Barclays
15-Dec,2,Barclays
16-Jan,13,Barclays
16-Feb,19,Barclays
16-Mar,14,Barclays
16-Apr,13,Barclays
16-May,33,Barclays
16-Jun,42,Barclays
12-Jan,154,Citigroup
12-Feb,322,Citigroup
12-Mar,351,Citigroup
12-Apr,367,Citigroup
12-May,333,Citigroup
12-Jun,367,Citigroup
12-Jul,335,Citigroup
12-Aug,337,Citigroup
12-Sep,198,Citigroup
12-Oct,424,Citigroup
12-Nov,152,Citigroup
12-Dec,158,Citigroup
13-Jan,379,Citigroup
13-Feb,290,Citigroup
13-Mar,323,Citigroup
13-Apr,308,Citigroup
13-May,128,Citigroup
13-Jun,182,Citigroup
13-Jul,1159,Citigroup
13-Aug,893,Citigroup
13-Sep,879,Citigroup
13-Oct,730,Citigroup
