"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年6月30日","12.57","12.70","12.73","12.45","24.30M","-1.02%"
"2016年6月29日","12.70","12.55","12.70","12.37","21.34M","3.67%"
"2016年6月28日","12.25","12.85","12.89","12.24","30.42M","-2.00%"
"2016年6月27日","12.50","13.55","13.55","12.37","32.94M","-8.09%"
"2016年6月24日","13.60","13.50","14.50","13.24","45.30M","-11.17%"
"2016年6月23日","15.31","15.04","15.41","14.96","14.50M","1.73%"
"2016年6月22日","15.05","14.83","15.15","14.72","13.82M","1.62%"
"2016年6月21日","14.81","14.54","14.88","14.50","17.98M","1.44%"
"2016年6月20日","14.60","14.38","14.68","14.34","13.05M","4.51%"
"2016年6月17日","13.97","13.79","14.06","13.71","35.62M","3.79%"
"2016年6月16日","13.46","13.25","13.47","13.21","16.27M","-0.44%"
"2016年6月15日","13.52","13.49","13.67","13.40","14.78M","1.50%"
"2016年6月14日","13.32","13.48","13.58","13.26","22.14M","-2.20%"
"2016年6月13日","13.62","13.74","13.77","13.51","13.88M","-2.01%"
"2016年6月10日","13.90","14.13","14.13","13.82","18.92M","-2.32%"
"2016年6月9日","14.23","14.58","14.60","14.20","11.68M","-2.06%"
"2016年6月8日","14.53","14.51","14.69","14.47","10.39M","-0.68%"
"2016年6月7日","14.63","14.53","14.77","14.51","12.31M","1.11%"
"2016年6月6日","14.47","14.48","14.64","14.36","8.90M","0.42%"
"2016年6月3日","14.41","14.97","15.01","14.29","17.26M","-3.35%"
"2016年6月2日","14.91","15.07","15.16","14.88","13.95M","-1.32%"
"2016年6月1日","15.11","15.30","15.35","15.01","12.73M","-1.63%"
"2016年5月31日","15.36","15.33","15.37","15.21","19.10M","0.52%"
"2016年5月30日","15.28","15.33","15.40","15.28","5.19M","-0.39%"
"2016年5月27日","15.34","15.30","15.40","15.13","10.21M","-0.26%"
"2016年5月26日","15.38","15.27","15.42","15.14","12.33M","0.79%"
"2016年5月25日","15.26","15.04","15.31","15.03","12.23M","2.07%"
"2016年5月24日","14.95","14.70","14.99","14.59","12.23M","1.22%"
"2016年5月23日","14.77","14.70","14.88","14.61","8.97M","0.27%"
"2016年5月20日","14.73","14.75","14.94","14.67","13.93M","1.03%"
"2016年5月19日","14.58","14.60","14.74","14.51","14.19M","1.11%"
"2016年5月18日","14.42","14.12","14.42","14.06","17.66M","1.84%"
"2016年5月17日","14.16","14.35","14.53","14.01","18.70M","-2.68%"
"2016年5月13日","14.55","14.47","14.70","14.32","10.57M","-0.14%"
"2016年5月12日","14.57","14.65","14.82","14.50","14.02M","-5.94%"
"2016年5月11日","15.49","15.56","15.60","15.24","12.09M","-0.58%"
"2016年5月10日","15.58","15.39","15.62","15.36","10.44M","2.30%"
"2016年5月9日","15.23","15.28","15.36","15.13","12.81M","0.86%"
"2016年5月6日","15.10","15.01","15.21","14.82","14.86M","0.53%"
"2016年5月4日","15.02","15.20","15.31","14.96","19.28M","-1.77%"
